Round,Position,Team,Played,Premiership_Points,Percentage
1,1,GW,1,4,200.0
1,2,HW,1,4,126.3
1,3,SY,1,0,79.2
1,4,CW,1,0,50.0
2,1,GW,2,8,143.7
2,2,HW,2,8,128.6
2,3,GC,1,4,277.6
2,4,GE,1,4,213.0
2,5,AD,1,4,187.5
2,6,CW,2,4,126.2
2,7,RI,1,4,118.8
2,8,WB,1,4,116.5
2,9,BL,1,4,104.9
2,10,ME,1,0,96.1
2,11,SY,2,0,86.8
2,12,NM,1,0,85.8
2,13,CA,1,0,84.1
2,14,ES,1,0,76.6
2,15,SK,1,0,53.3
2,16,FR,1,0,46.9
2,17,WC,1,0,36.0
2,18,PA,1,0,33.1
3,1,HW,3,12,129.9
3,2,AD,2,8,172.1
3,3,GW,2,8,143.7
3,4,CW,3,8,120.5
3,5,BL,2,8,114.6
3,6,GC,1,4,277.6
3,7,GE,2,4,142.5
3,8,NM,2,4,124.0
3,9,WB,2,4,105.8
3,10,SY,3,4,91.5
3,11,PA,2,4,90.7
3,12,SK,2,4,75.2
3,13,RI,2,4,71.8
3,14,CA,2,0,79.6
3,15,ME,2,0,69.3
3,16,ES,2,0,68.0
3,17,FR,2,0,62.3
3,18,WC,2,0,53.9
4,1,HW,4,16,127.4
4,2,AD,3,12,164.0
4,3,BL,3,12,114.7
4,4,GC,2,8,230.6
4,5,GW,3,8,121.3
4,6,CW,3,8,120.5
4,7,SK,3,8,109.3
4,8,WB,3,8,107.3
4,9,GE,3,4,126.2
4,10,NM,3,4,102.4
4,11,SY,3,4,91.5
4,12,PA,3,4,88.8
4,13,FR,3,4,84.8
4,14,ES,3,4,77.4
4,15,RI,3,4,59.0
4,16,CA,3,0,83.3
4,17,ME,3,0,62.7
4,18,WC,3,0,57.1
5,1,HW,4,16,127.4
5,2,BL,4,16,119.5
5,3,GC,3,12,172.6
5,4,GW,4,12,149.0
5,5,AD,4,12,146.6
5,6,CW,4,12,123.4
5,7,SK,4,12,112.3
5,8,GE,4,8,135.7
5,9,SY,4,8,114.7
5,10,WB,4,8,100.6
5,11,FR,4,8,92.6
5,12,PA,4,4,86.8
5,13,NM,4,4,85.9
5,14,ES,3,4,77.4
5,15,RI,4,4,63.4
5,16,CA,4,0,81.2
5,17,ME,4,0,60.9
5,18,WC,4,0,51.9
6,1,BL,5,20,120.0
6,2,GC,4,16,168.3
6,3,GW,5,16,145.4
6,4,CW,5,16,127.1
6,5,HW,5,16,111.8
6,6,GE,5,12,131.3
6,7,AD,5,12,130.4
6,8,FR,5,12,108.3
6,9,SK,5,12,103.3
6,10,SY,5,8,103.2
6,11,PA,5,8,96.1
6,12,WB,5,8,95.9
6,13,ES,4,8,90.7
6,14,CA,5,4,103.6
6,15,NM,5,4,80.0
6,16,RI,5,4,59.6
6,17,ME,5,0,60.6
6,18,WC,5,0,49.7
7,1,CW,6,20,136.6
7,2,BL,6,20,105.7
7,3,GC,5,16,150.5
7,4,GW,6,16,134.6
7,5,AD,6,16,132.0
7,6,GE,6,16,127.5
7,7,HW,6,16,108.3
7,8,WB,6,12,110.0
7,9,FR,6,12,104.6
7,10,PA,6,12,98.1
7,11,ES,5,12,92.7
7,12,SK,6,12,90.5
7,13,CA,6,8,122.1
7,14,SY,6,8,101.0
7,15,RI,6,8,65.7
7,16,NM,6,4,72.7
7,17,ME,6,4,68.7
7,18,WC,6,0,55.3
8,1,CW,7,24,140.3
8,2,BL,7,24,112.7
8,3,GC,6,20,150.1
8,4,HW,7,20,116.1
8,5,AD,7,16,124.2
8,6,GW,7,16,120.4
8,7,GE,7,16,119.6
8,8,WB,7,16,114.0
8,9,FR,7,16,107.2
8,10,PA,7,16,99.8
8,11,CA,7,12,122.4
8,12,ES,6,12,86.9
8,13,SK,7,12,85.7
8,14,SY,7,8,94.6
8,15,ME,7,8,74.7
8,16,RI,7,8,66.9
8,17,NM,7,4,74.9
8,18,WC,7,0,55.9
9,1,BL,8,28,114.4
9,2,CW,8,24,133.2
9,3,HW,8,24,125.6
9,4,GC,7,20,140.4
9,5,AD,8,20,131.8
9,6,WB,8,20,127.1
9,7,GE,8,20,117.4
9,8,GW,8,16,115.0
9,9,FR,8,16,97.2
9,10,SK,8,16,94.6
9,11,ES,7,16,88.6
9,12,PA,8,16,87.9
9,13,CA,8,12,108.6
9,14,SY,8,12,97.2
9,15,ME,8,12,81.6
9,16,RI,8,8,63.4
9,17,NM,8,4,76.4
9,18,WC,8,0,57.7
10,1,BL,9,30,112.9
10,2,CW,9,28,131.0
10,3,HW,9,28,128.7
10,4,GC,8,24,135.7
10,5,AD,9,24,128.8
10,6,WB,9,20,122.0
10,7,GE,9,20,114.4
10,8,GW,9,20,113.4
10,9,ES,8,20,90.8
10,10,CA,9,16,110.0
10,11,FR,9,16,95.7
10,12,SK,9,16,93.3
10,13,PA,9,16,88.6
10,14,SY,9,12,96.4
10,15,ME,9,12,79.4
10,16,RI,9,12,66.8
10,17,NM,9,6,78.2
10,18,WC,9,0,61.0
11,1,CW,10,32,129.4
11,2,BL,10,30,110.0
11,3,GC,9,28,132.0
11,4,HW,10,28,123.8
11,5,WB,10,24,132.6
11,6,AD,10,24,124.7
11,7,GE,10,24,123.4
11,8,GW,10,20,107.4
11,9,FR,10,20,100.1
11,10,ES,9,20,81.2
11,11,CA,10,16,106.9
11,12,SY,10,16,98.7
11,13,SK,10,16,91.0
11,14,ME,10,16,82.6
11,15,PA,10,16,82.0
11,16,RI,10,12,69.0
11,17,NM,10,10,80.2
11,18,WC,10,4,66.6
12,1,CW,11,36,132.9
12,2,BL,11,34,113.1
12,3,GC,10,32,131.9
12,4,AD,11,28,130.6
12,5,GE,11,28,122.0
12,6,HW,11,28,117.4
12,7,WB,11,24,126.5
12,8,GW,11,24,109.9
12,9,FR,11,24,105.6
12,10,ES,10,24,85.0
12,11,ME,11,20,89.3
12,12,CA,11,16,102.8
12,13,SY,11,16,93.2
12,14,SK,11,16,89.8
12,15,PA,11,16,79.1
12,16,RI,11,12,69.2
12,17,NM,11,10,78.1
12,18,WC,11,4,64.6
13,1,CW,12,40,136.9
13,2,BL,12,38,114.0
13,3,AD,12,32,139.3
13,4,GC,11,32,127.8
13,5,GE,12,32,124.8
13,6,HW,12,28,110.2
13,7,GW,12,28,109.4
13,8,FR,12,28,106.4
13,9,WB,11,24,126.5
13,10,ES,11,24,84.6
13,11,SK,12,20,93.1
13,12,ME,12,20,87.6
13,13,CA,11,16,102.8
13,14,SY,12,16,85.7
13,15,PA,11,16,79.1
13,16,RI,12,12,71.1
13,17,NM,11,10,78.1
13,18,WC,12,4,64.5
14,1,CW,13,44,134.0
14,2,BL,13,38,112.6
14,3,AD,13,36,137.2
14,4,GE,13,36,126.2
14,5,GC,12,32,123.2
14,6,HW,13,32,111.8
14,7,GW,13,28,107.2
14,8,FR,12,28,106.4
14,9,WB,12,24,122.1
14,10,ES,12,24,84.9
14,11,CA,12,20,103.4
14,12,SK,12,20,93.1
14,13,SY,13,20,90.1
